Datetime,Water Level (m)
2023-05-21 12:00:00,1.15472
2023-05-21 13:00:00,1.1243782
2023-05-21 14:00:00,0.8469301
2023-05-21 15:00:00,0.4820182
2023-05-21 16:00:00,0.23142189
2023-05-21 17:00:00,0.040609818
2023-05-21 18:00:00,-0.11458692
2023-05-21 19:00:00,-0.24454628
2023-05-21 20:00:00,-0.31634066
2023-05-21 21:00:00,-0.019386986
2023-05-21 22:00:00,0.4974558
2023-05-21 23:00:00,0.80597496
2023-05-22 00:00:00,0.9587033
2023-05-22 01:00:00,0.9167753
2023-05-22 02:00:00,0.675963
2023-05-22 03:00:00,0.3907427
2023-05-22 04:00:00,0.1756273
2023-05-22 05:00:00,-0.012378004
2023-05-22 06:00:00,-0.16450025
2023-05-22 07:00:00,-0.28460872
2023-05-22 08:00:00,-0.28822708
2023-05-22 09:00:00,0.20696028
2023-05-22 10:00:00,0.7015037
2023-05-22 11:00:00,1.0631866
2023-05-22 12:00:00,1.2984232
2023-05-22 13:00:00,1.3751806
2023-05-22 14:00:00,1.2137332
2023-05-22 15:00:00,0.83525014
2023-05-22 16:00:00,0.526231
2023-05-22 17:00:00,0.32104278
2023-05-22 18:00:00,0.13318191
2023-05-22 19:00:00,-0.030232688
2023-05-22 20:00:00,-0.16130124
2023-05-22 21:00:00,-0.19094275
2023-05-22 22:00:00,0.21768256
2023-05-22 23:00:00,0.64879054
2023-05-23 00:00:00,0.90596783
2023-05-23 01:00:00,0.9592731
2023-05-23 02:00:00,0.8317308
2023-05-23 03:00:00,0.5782907
2023-05-23 04:00:00,0.3586948
2023-05-23 05:00:00,0.15679961
2023-05-23 06:00:00,-0.01951756
2023-05-23 07:00:00,-0.15663558
2023-05-23 08:00:00,-0.25325444
2023-05-23 09:00:00,-0.11942175
2023-05-23 10:00:00,0.43402305
2023-05-23 11:00:00,0.84807336
2023-05-23 12:00:00,1.1611109
2023-05-23 13:00:00,1.3413942
2023-05-23 14:00:00,1.3407397
2023-05-23 15:00:00,1.0769898
2023-05-23 16:00:00,0.73100835
2023-05-23 17:00:00,0.49635732
2023-05-23 18:00:00,0.29138917
2023-05-23 19:00:00,0.10024345
2023-05-23 20:00:00,-0.04937282
2023-05-23 21:00:00,-0.14894786
2023-05-23 22:00:00,-0.079741105
2023-05-23 23:00:00,0.34004077
2023-05-24 00:00:00,0.6982823
2023-05-24 01:00:00,0.88587576
2023-05-24 02:00:00,0.8778933
2023-05-24 03:00:00,0.71679366
2023-05-24 04:00:00,0.4985132
2023-05-24 05:00:00,0.29734835
2023-05-24 06:00:00,0.11081537
2023-05-24 07:00:00,-0.04187072
2023-05-24 08:00:00,-0.15072244
2023-05-24 09:00:00,-0.17412303
2023-05-24 10:00:00,0.16182242
2023-05-24 11:00:00,0.63452834
2023-05-24 12:00:00,0.9870727
2023-05-24 13:00:00,1.2270637
2023-05-24 14:00:00,1.3429337
2023-05-24 15:00:00,1.2637693
2023-05-24 16:00:00,0.94420564
2023-05-24 17:00:00,0.640529
2023-05-24 18:00:00,0.43460903
2023-05-24 19:00:00,0.24440525
2023-05-24 20:00:00,0.0779757
2023-05-24 21:00:00,-0.056143783
2023-05-24 22:00:00,-0.1404911
2023-05-24 23:00:00,-0.030743068
2023-05-25 00:00:00,0.36020818
2023-05-25 01:00:00,0.7159479
2023-05-25 02:00:00,0.8659145
2023-05-25 03:00:00,0.84089506
2023-05-25 04:00:00,0.67580014
2023-05-25 05:00:00,0.47171417
2023-05-25 06:00:00,0.2791979
2023-05-25 07:00:00,0.10046375
2023-05-25 08:00:00,-0.044576105
2023-05-25 09:00:00,-0.14424422
2023-05-25 10:00:00,-0.10818879
2023-05-25 11:00:00,0.31703404
2023-05-25 12:00:00,0.73470366
2023-05-25 13:00:00,1.0376626
2023-05-25 14:00:00,1.2257236
2023-05-25 15:00:00,1.2859156
2023-05-25 16:00:00,1.143827
2023-05-25 17:00:00,0.8446547
2023-05-25 18:00:00,0.6042162
2023-05-25 19:00:00,0.4090117
2023-05-25 20:00:00,0.23026846
2023-05-25 21:00:00,0.07858063
2023-05-25 22:00:00,-0.04395688
2023-05-25 23:00:00,-0.09002792
2023-05-26 00:00:00,0.115448155
2023-05-26 01:00:00,0.50053746
2023-05-26 02:00:00,0.7913758
2023-05-26 03:00:00,0.900388
2023-05-26 04:00:00,0.87351996
2023-05-26 05:00:00,0.7226939
2023-05-26 06:00:00,0.52902246
2023-05-26 07:00:00,0.34186003
2023-05-26 08:00:00,0.17581226
2023-05-26 09:00:00,0.043608103
2023-05-26 10:00:00,-0.037559956
2023-05-26 11:00:00,0.04467668
2023-05-26 12:00:00,0.43733275
2023-05-26 13:00:00,0.7922652
2023-05-26 14:00:00,1.0319823
2023-05-26 15:00:00,1.1687205
2023-05-26 16:00:00,1.1750548
2023-05-26 17:00:00,1.0121121
2023-05-26 18:00:00,0.7585442
2023-05-26 19:00:00,0.5387543
2023-05-26 20:00:00,0.35283598
2023-05-26 21:00:00,0.18421246
2023-05-26 22:00:00,0.03811679
2023-05-26 23:00:00,-0.07467488
2023-05-27 00:00:00,-0.12507942
2023-05-27 01:00:00,0.042545985
2023-05-27 02:00:00,0.44996047
2023-05-27 03:00:00,0.74558806
2023-05-27 04:00:00,0.85573876
2023-05-27 05:00:00,0.8501486
2023-05-27 06:00:00,0.7412273
2023-05-27 07:00:00,0.5755197
2023-05-27 08:00:00,0.39541173
2023-05-27 09:00:00,0.22238693
2023-05-27 10:00:00,0.087220974
2023-05-27 11:00:00,0.013228686
2023-05-27 12:00:00,0.03690226
